lead_author,sample_size,missing,negative_test,negative_test_percentage,negative_current_smoker,negative_current_percentage,negative_former_smoker,negative_former_smoker_percentage,negative_current_former_smoker,negative_current_former_smoker_percentage,negative_never_smoker,negative_never_smoker_percentage,negative_not_stated,negative_not_stated_percentage,positive_test,positive_test_percentage,positive_current_smoker,positive_current_smoker_percentage,positive_former_smoker,positive_former_smoker_percentage,positive_current_former_smoker,positive_current_former_smoker_percentage,positive_never_smoker,positive_never_smoker_percentage,positive_not_stated,positive_not_stated_percentage
rentsch,3528,261,2974,84.297052154195,1444,48.55413584398117,704,23.67182246133154,NA,NA,826,27.77404169468729,NA,NA,554,15.702947845804987,159,28.700361010830328,179,32.31046931407942,NA,NA,216,38.98916967509025,0,0
fontanet,661,0,490,74.13010590015129,64,13.061224489795919,NA,NA,NA,NA,426,86.93877551020408,NA,NA,171,25.86989409984871,5,2.923976608187134,NA,NA,NA,NA,166,97.07602339181285,NA,NA
cho,1331,0,793,59.57926371149511,142,17.90668348045397,214,26.986128625472887,NA,NA,437,55.10718789407314,NA,NA,538,40.420736288504884,111,20.63197026022305,145,26.95167286245353,NA,NA,282,52.41635687732342,NA,NA
shah,316,75,212,87.24279835390946,52,24.528301886792452,47,22.169811320754718,NA,NA,113,53.301886792452834,NA,NA,29,11.934156378600823,0,0,9,31.03448275862069,NA,NA,20,68.96551724137932,NA,NA
bello_chavolla,62489,0,46960,75.14922626382243,NA,NA,NA,NA,4835,10.295996592844975,NA,NA,42125,89.70400340715503,15529,24.850773736177565,NA,NA,NA,NA,1374,8.847961877777061,NA,NA,14155,91.15203812222293
kolin,1474,12,805,54.613297150610585,141,17.51552795031056,307,38.13664596273292,NA,NA,354,43.975155279503106,3,0.37267080745341613,669,45.386702849389415,72,10.762331838565023,285,42.600896860986545,NA,NA,303,45.2914798206278,9,1.345291479820628
de_lusignan,3802,511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551,16.742631419021574,47,8.52994555353902,303,54.99092558983666,NA,NA,201,36.47912885662432,NA,NA
