lead_author,sample,number_community,community_percentage,community_current_smoker,community_current_smoker_percent,community_former_smoker,community_former_smoker_percent,community_current_former_smoker,community_current_former_smoker_percent,community_never_smoker,community_never_smoker_percent,community_never_unknown_smoker,community_never_unknown_smoker_percent,community_not_stated,community_not_stated_percent,number_hospitalised,number_hospitalised_percent,hospitalised_current_smoker,hospitalised_current_smoker_percent,hospitalised_former_smoker,hospitalised_former_smoker_percent,hospitalised_current_former_smoker,hospitalised_current_former_smoker_percent,hospitalised_never_smoker,hospitalised_never_smoker_percent,hospitalised_never_unknown_smoker,hospitalised_never_unknown_smoker_percent,hospitalised_not_stated,hospitalised_not_stated_percent
rentsch,554,269,48.55595667870036,69,25.650557620817843,90,33.457249070631974,NA,NA,110,40.89219330855018,NA,NA,NA,NA,285,51.44404332129964,90,31.57894736842105,89,31.2280701754386,NA,NA,106,37.19298245614035,NA,NA,NA,NA
petrilli,4103,2104,51.27955154764806,108,5.133079847908745,250,11.88212927756654,NA,NA,NA,NA,1746,82.98479087452472,NA,NA,1999,48.72044845235194,104,5.2026013006503256,416,20.810405202601302,NA,NA,NA,NA,1479,73.98699349674838,NA,NA
chow_us_cdc,6637,5143,77.48982974235348,61,1.1860781644954306,80,1.5555123468792533,NA,NA,NA,NA,NA,NA,5002,97.25840948862532,1494,22.51017025764653,27,1.8072289156626504,78,5.220883534136546,NA,NA,NA,NA,NA,NA,1389,92.9718875502008
argenziano,1000,151,15.1,14,9.271523178807946,18,11.920529801324504,NA,NA,119,78.80794701986756,NA,NA,NA,NA,849,84.89999999999999,35,4.122497055359246,161,18.963486454652532,NA,NA,653,76.91401648998823,NA,NA,NA,NA
miyara_updated,470,139,29.574468085106382,14,10.071942446043165,41,29.496402877697843,NA,NA,77,55.39568345323741,NA,NA,7,5.0359712230215825,340,72.3404255319149,18,5.294117647058823,111,32.64705882352941,NA,NA,209,61.47058823529412,NA,NA,2,0.5882352941176471
lubetzky,54,15,27.77777777777778,NA,NA,NA,NA,4,26.666666666666668,NA,NA,NA,NA,11,73.33333333333333,39,72.22222222222221,NA,NA,NA,NA,8,20.51282051282051,NA,NA,NA,NA,31,79.48717948717949
carrillo_vega,9946,3922,39.43293786446812,408,10.402855685874554,NA,NA,NA,NA,NA,NA,NA,NA,3514,89.59714431412544,6024,60.56706213553187,486,8.067729083665338,NA,NA,NA,NA,NA,NA,NA,NA,5538,91.93227091633466
yanover,4353,4180,96.02572938203538,484,11.578947368421053,118,2.8229665071770333,NA,NA,3578,85.59808612440192,NA,NA,NA,NA,173,3.9742706179646223,30,17.341040462427745,11,6.358381502890173,NA,NA,132,76.30057803468208,NA,NA,NA,NA
hamer,387109,386349,99.80367286733194,37333,9.663024881648457,134542,34.8239545074531,NA,NA,214474,55.51302061089844,NA,NA,NA,NA,760,0.19632713266805993,93,12.23684210526316,313,41.18421052631579,NA,NA,354,46.578947368421055,NA,NA,NA,NA
